order_id,customer_id,order_date,item_count,final_price,shipping_address
1001,CUST001,2025-10-25,2,150000,Jakarta Pusat
1002,CUST005,2025-10-25,1,50000,Bandung Barat
1003,CUST012,2025-10-25,3,225000,Surabaya Timur
1004,CUST003,2025-10-25,1,75000,Medan
1005,CUST020,2025-10-25,5,400000,Denpasar
1006,CUST015,2025-10-26,1,120000,Yogyakarta
1007,CUST008,2025-10-26,2,180000,Semarang
1008,CUST018,2025-10-26,4,300000,Makassar
1009,CUST022,2025-10-26,1,90000,Palembang
1010,CUST002,2025-10-26,3,275000,Jakarta Selatan
1011,CUST010,2025-10-27,2,155000,Bogor
1012,CUST019,2025-10-27,1,60000,Depok
1013,CUST004,2025-10-27,5,450000,Tangerang
1014,CUST014,2025-10-27,2,190000,Bekasi
1015,CUST025,2025-10-27,1,85000,Cirebon
1016,CUST007,2025-10-28,3,250000,Malang
1017,CUST011,2025-10-28,1,110000,Solo
1018,CUST006,2025-10-28,2,130000,Bandar Lampung
1019,CUST024,2025-10-28,4,320000,Pekanbaru
1020,CUST016,2025-10-28,1,70000,Batam
1021,CUST009,2025-10-29,3,200000,Manado
1022,CUST017,2025-10-29,1,95000,Pontianak
1023,CUST001,2025-10-29,2,175000,Jakarta Pusat
1024,CUST005,2025-10-29,5,380000,Bandung Barat
1025,CUST012,2025-10-29,1,65000,Surabaya Timur
1026,CUST003,2025-10-30,4,330000,Medan
1027,CUST020,2025-10-30,2,140000,Denpasar
1028,CUST015,2025-10-30,1,75000,Yogyakarta
1029,CUST008,2025-10-30,3,290000,Semarang
1030,CUST018,2025-10-30,1,55000,Makassar
1031,CUST022,2025-10-31,2,185000,Palembang
1032,CUST002,2025-10-31,4,360000,Jakarta Selatan
1033,CUST010,2025-10-31,1,92000,Bogor
1034,CUST019,2025-10-31,3,210000,Depok
1035,CUST004,2025-10-31,1,88000,Tangerang
1036,CUST014,2025-11-01,2,165000,Bekasi
1037,CUST025,2025-11-01,5,410000,Cirebon
1038,CUST007,2025-11-01,1,98000,Malang
1039,CUST011,2025-11-01,3,255000,Solo
1040,CUST006,2025-11-01,2,135000,Bandar Lampung
1041,CUST024,2025-11-02,4,305000,Pekanbaru
1042,CUST016,2025-11-02,1,62000,Batam
1043,CUST009,2025-11-02,2,195000,Manado
1044,CUST017,2025-11-02,5,430000,Pontianak
1045,CUST001,2025-11-02,1,72000,Jakarta Pusat
1046,CUST005,2025-11-03,3,285000,Bandung Barat
1047,CUST012,2025-11-03,2,148000,Surabaya Timur
1048,CUST003,2025-11-03,1,88000,Medan
1049,CUST020,2025-11-03,4,350000,Denpasar
1050,CUST015,2025-11-03,1,58000,Yogyakarta